HORA, PI0102, FC0104, FC0105, FC0108, TI0201, TC0202, TI0203, TI0204, TI0205, TI0210, TI0211, TI0212, TC0213, PI0214, PI0215, PI0216, FI0219, LC0301, PI0302, FI0446, FC0501, TC0508, PI0509, TC0510, PI0511, TC0512, TI0513, FC0619, FC0629, PI0640,,
4,115.64,1079.86,61.7,3.24,1226.97,1211.73,794.17,657.33,460.85,119.23,476.14,570.61,728.04,-7.14,-168.83,-482.38,67.06,55.56,0.11,171.57,758.87,51.24,-532.32,36.07,-555.72,4.8,-581.62,1636.5,580,-623.27,,
5,110.49,1079.93,61.73,3.24,1226.97,1209.96,793.37,642.01,460.48,119.14,477.81,570.37,728.02,-11.14,-171.81,-482.84,66.91,55.53,0.11,171.78,758.8,51.25,-532.4,36.37,-555.88,5.13,-582.07,1632.12,579.99,-623.11,,
6,110.04,1079.74,61.72,3.24,1226.97,1209.64,793.24,656.22,461.31,118.9,478.53,570.2,728.08,-11.47,-172.1,-483.08,66.68,55.49,0.11,171.87,757.47,51.29,-532.7,36.22,-556.1,4.99,-582.14,1633.48,583.35,-623.16,,
7,121.2,1079.75,61.72,3.24,1226.97,1211.97,794.94,688.22,462.47,119.3,477.13,571.44,727.94,-2.22,-165.22,-480.59,66.54,55.34,0.11,173.13,754.08,51.53,-531.2,36.3,-554.71,5.28,-581.14,1647.73,590,-622.49,,
8,130.37,1079.78,61.72,3.24,1226.97,1214.44,796.63,688.89,463.48,119.8,475.9,572.33,727.89,5.57,-159.21,-477.81,66.69,55.02,0.11,175.98,754.05,51.87,-529.15,36.34,-552.81,5.67,-579.59,1653.72,592.55,-620.69,,
9,134.58,1080.65,61.73,3.24,1226.97,1213.8,799.27,689.98,464.98,119.9,476.28,573.44,728.26,9.06,-156.35,-475.82,66.64,54.78,0.11,178.13,750.47,52.25,-527.09,36.33,-550.81,5.39,-578.17,1664.83,600.05,-619.27,,
10,132.98,1080.12,61.7,3.24,1226.97,1211.83,801.32,689.03,464.68,119.46,477.82,572.65,728.08,7.85,-157.08,-474.7,66.97,54.89,0.12,179.33,756.22,52.61,-525.83,36.81,-549.41,5.72,-577.01,1660.33,608.94,-617.9,,
11,122.04,1097.55,62.74,3.29,1226.97,1208.76,799.3,689.39,461.94,118.71,479.02,570.57,727.98,-0.93,-164.02,-478.57,65.98,55.18,0.11,176.76,761.35,52.37,-529.43,35.9,-552.1,5.09,-578.3,1655.13,609.98,-620.39,,
12,122.63,1099.69,62.87,3.3,1226.97,1208.59,798.08,690.1,461.65,118.6,478.95,570.55,727.71,-0.63,-164.09,-479.36,65.74,55.27,0.11,175.44,762.64,52.25,-530.29,36.08,-553.13,5.22,-578.92,1661.69,613.22,-621.76,,
13,137.98,1100.44,62.87,3.3,1184.64,1214.39,799.06,689.55,461.62,119.37,475.32,571.98,727.72,11.85,-154.62,-475.59,66.1,55.18,0.11,176.54,761.75,52.67,-527.92,36.68,-551.32,5.74,-577.74,1681.08,620.01,-621.46,,
14,137.82,1099.81,62.87,3.3,1182.7,1217.04,795.65,670.71,461.07,119.37,473.41,571.79,727.1,11.48,-154.56,-473.82,65.74,55.05,0.13,177.08,762.43,52.85,-526.26,35.53,-549.99,4.69,-576.13,1680.16,620.01,-620.19,,
15,142.29,1099.56,62.85,3.3,1185.99,1220.97,794.04,649.17,459.59,119.45,469.17,570.57,724.09,14.9,-151.8,-472.48,64.78,54.9,0.12,179.57,764.31,52.96,-525.43,36.79,-550.61,5.31,-578.36,1682.18,620,-620.99,,
16,141.43,1099.85,62.86,3.3,1188.83,1218.2,798.71,689.19,466.25,119.52,474.08,572.88,728.28,14.59,-151.5,-471.04,66.46,54.82,0.12,178.39,762.09,52.99,-523.09,35.46,-547.03,4.68,-575.28,1678.76,620,-619.18,,
17,130.58,1095.06,62.86,3.3,1184.84,1214.61,797.36,689.93,466.67,119.11,476.05,572.47,728.13,5.27,-158.44,-473.33,65.56,54.78,0.12,176.22,764.3,52.97,-524.37,35.24,-548.1,4.63,-575.95,1674.32,619.99,-620.17,,
